x Xe ne tau dtaudx ddtauddx g dgdx ddgddx 
-10.6799 1 2.06955e+13 9074.2 -10034.1 10398.1 0 0 0 
-10.6788 1 2.06274e+13 9063.17 -10022.6 10386.6 0 0 0 
-10.6777 1 2.05594e+13 9052.15 -10011.2 10375.2 0 0 0 
-10.6766 1 2.04916e+13 9041.14 -9999.79 10363.7 0 0 0 
-10.6755 1 2.04241e+13 9030.15 -9988.4 10352.3 0 0 0 
-10.6744 1 2.03568e+13 9019.16 -9977.02 10340.9 0 0 0 
-10.6733 1 2.02898e+13 9008.19 -9965.65 10329.4 0 0 0 
-10.6722 1 2.02229e+13 8997.24 -9954.29 10318 0 0 0 
-10.6711 1 2.01563e+13 8986.29 -9942.95 10306.7 0 0 0 
-10.67 1 2.00899e+13 8975.36 -9931.61 10295.3 0 0 0 
-10.6689 1 2.00237e+13 8964.44 -9920.29 10283.9 0 0 0 
-10.6678 1 1.99577e+13 8953.53 -9908.99 10272.6 0 0 0 
-10.6667 1 1.98919e+13 8942.64 -9897.69 10261.2 0 0 0 
-10.6656 1 1.98264e+13 8931.76 -9886.41 10249.9 0 0 0 
-10.6645 1 1.97611e+13 8920.89 -9875.14 10238.6 0 0 0 
-10.6634 1 1.9696e+13 8910.03 -9863.88 10227.3 0 0 0 
-10.6623 1 1.96311e+13 8899.18 -9852.64 10216 0 0 0 
-10.6612 1 1.95664e+13 8888.35 -9841.4 10204.7 0 0 0 
-10.6601 1 1.95019e+13 8877.53 -9830.18 10193.5 0 0 0 
-10.659 1 1.94377e+13 8866.72 -9818.98 10182.2 0 0 0 
-10.6579 1 1.93736e+13 8855.93 -9807.78 10171 0 0 0 
-10.6568 1 1.93098e+13 8845.14 -9796.6 10159.7 0 0 0 
-10.6557 1 1.92461e+13 8834.37 -9785.43 10148.5 0 0 0 
-10.6546 1 1.91827e+13 8823.61 -9774.27 10137.3 0 0 0 
-10.6535 1 1.91195e+13 8812.87 -9763.12 10126.1 0 0 0 
-10.6524 1 1.90565e+13 8802.13 -9751.99 10114.9 0 0 0 
