z dL
4.21913 1.23887e+27 
4.21704 1.23812e+27 
4.21495 1.23737e+27 
4.21287 1.23663e+27 
4.21078 1.23588e+27 
4.2087 1.23513e+27 
4.20662 1.23439e+27 
4.20453 1.23364e+27 
4.20245 1.2329e+27 
4.20037 1.23215e+27 
4.19829 1.23141e+27 
4.19621 1.23066e+27 
4.19413 1.22992e+27 
4.19205 1.22917e+27 
4.18998 1.22843e+27 
4.1879 1.22769e+27 
4.18583 1.22694e+27 
4.18375 1.2262e+27 
4.18168 1.22546e+27 
4.17961 1.22472e+27 
4.17753 1.22398e+27 
4.17546 1.22324e+27 
4.17339 1.2225e+27 
4.17132 1.22176e+27 
4.16925 1.22102e+27 
4.16719 1.22028e+27 
4.16512 1.21954e+27 
4.16305 1.2188e+27 
4.16099 1.21806e+27 
4.15892 1.21732e+27 
4.15686 1.21659e+27 
4.1548 1.21585e+27 
4.15274 1.21511e+27 
4.15068 1.21438e+27 
4.14861 1.21364e+27 
4.14656 1.2129e+27 
4.1445 1.21217e+27 
4.14244 1.21143e+27 
4.14038 1.2107e+27 
4.13833 1.20997e+27 
4.13627 1.20923e+27 
4.13422 1.2085e+27 
4.13216 1.20776e+27 
4.13011 1.20703e+27 
4.12806 1.2063e+27 
4.12601 1.20557e+27 
4.12396 1.20483e+27 
4.12191 1.2041e+27 
4.11986 1.20337e+27 
4.11781 1.20264e+27 
4.11576 1.20191e+27 
4.11372 1.20118e+27 
4.11167 1.20045e+27 
4.10963 1.19972e+27 
4.10758 1.19899e+27 
4.10554 1.19826e+27 
4.1035 1.19754e+27 
4.10146 1.19681e+27 
4.09941 1.19608e+27 
4.09738 1.19535e+27 
4.09534 1.19463e+27 
4.0933 1.1939e+27 
4.09126 1.19317e+27 
4.08922 1.19245e+27 
4.08719 1.19172e+27 
4.08515 1.191e+27 
4.08312 1.19027e+27 
4.08109 1.18955e+27 
4.07905 1.18883e+27 
4.07702 1.1881e+27 
4.07499 1.18738e+27 
4.07296 1.18666e+27 
4.07093 1.18593e+27 
4.0689 1.18521e+27 
4.06688 1.18449e+27 
4.06485 1.18377e+27 
4.06282 1.18305e+27 
4.0608 1.18233e+27 
4.05877 1.1816e+27 
4.05675 1.18088e+27 
4.05473 1.18016e+27 
4.05271 1.17945e+27 
4.05069 1.17873e+27 
4.04866 1.17801e+27 
